panel_id	alias
tamil	chettiyar
tamil	chettiar
tamil	chetti
tamil	nattukottai
tamil	nagarathar
tamil	mudaliar
tamil	mudaliyar
tamil	kallar
tamil	mukkulathor
tamil	pallar
tamil	pallan
tamil	parayar
tamil	adi_dravidar
tamil	paravar
tamil	arunthathiyar
tamil	chakkiliyar
tamil	komati
tamil	setti
tamil	vysya
tamil	pillai
tamil	kongu
punjabi	sikh
punjabi	haryana
bengali	bangla
bengali	bangladeshi
gujarati	gujarat
marathi	maratha
marathi	marathi
marathi	maharashtra
marathi	pune
marathi	mumbai
marathi	nagpur
marathi	kolhapur
marathi	satara
marathi	chitpavan
marathi	ckp
marathi	deshastha
marathi	karhade
marathi	kunbi
marathi	dhangar
marathi	mahar
marathi	mali
kerala	kerala
kerala	malayalam
kerala	malayali
kerala	malabar
kerala	kochi
kerala	cochin
kerala	trivandrum
kerala	thiruvananthapuram
kerala	kozhikode
kerala	calicut
kerala	nair
kerala	nayar
kerala	ezhava
kerala	thiyya
kerala	namboothiri
kerala	nambudiri
kerala	pulaya
kerala	nasrani
kerala	thrissur
kerala	kannur
